Field,Year,Name,Born,Died,Children,Affiliation,Latitude,Longitude
Physics,2020,Andrea Ghez,1965,,2,"University of California, Los Angeles",34.06999972,-118.4397899
Physics,2018,Donna Strickland,1959,,2,University of Waterloo,43.46799813,-80.53733118
Physics,1963,Maria Goeppert Mayer,1906,1972,2,"University of California, San Diego",32.87526317,-117.2361324
Physics,1903,Marie Curie,1867,1934,2,,,
Chemistry,2022,Carolyn R. Bertozzi,1966,,3,Stanford University,37.43,-122.17
Chemistry,2020,Emmanuelle Charpentier,1968,,0,,,
Chemistry,2020,Jennifer A. Doudna,1964,,1,,,
Chemistry,2018,Frances H. Arnold,1956,,3,,,
Chemistry,2009,Ada E. Yonath,1939,,1,,,
Chemistry,1964,Dorothy Crowfoot Hodgkin,1910,1994,3,,,
Chemistry,1935,Irène Joliot-Curie,1897,1956,2,,,
Chemistry,1911,Marie Curie,1867,1934,2,,,
Medicine,2015,Tu Youyou,1930,,2,,,
Medicine,2014,May-Britt Moser,1963,,2,,,
Medicine,2009,Elizabeth H. Blackburn,1948,,1,,,
Medicine,2009,Carol W. Greider,1961,,2,,,
Medicine,2008,Françoise Barré-Sinoussi,1947,,0,,,
Medicine,2004,Linda B. Buck,1947,,0,,,
Medicine,1995,Christiane Nüsslein-Volhard,1942,,0,,,
Medicine,1988,Gertrude B. Elion,1918,1999,0,,,
Medicine,1986,Rita Levi-Montalcini,1909,2012,0,,,
Medicine,1983,Barbara McClintock,1902,1992,0,,,
Medicine,1977,Rosalyn Yalow,1921,2011,2,,,
Medicine,1947,Gerty Theresa Cori,1896,1957,1,,,
Literature,2022,Annie Ernaux,1940,,2,,,
Literature,2020,Louise Glück,1943,,1,,,
Literature,2018,Olga Tokarczuk,1962,,2,,,
Literature,2015,Svetlana Alexievich,1948,,0,,,
Literature,2013,Alice Munro,1931,,4,,,
Literature,2009,Herta Müller,1953,,0,,,
Literature,2007,Doris Lessing,1919,2013,3,,,
Literature,2004,Elfriede Jelinek,1946,,0,,,
Literature,1996,Wislawa Szymborska,1923,2012,0,,,
Literature,1993,Toni Morrison,1931,2019,2,,,
Literature,1991,Nadine Gordimer,1923,2014,2,,,
Literature,1966,Nelly Sachs,1891,1970,0,,,
Literature,1945,Gabriela Mistral,1889,1957,0,,,
Literature,1938,Pearl Buck,1892,1973,2,,,
Literature,1928,Sigrid Undset,1882,1949,3,,,
Literature,1926,Grazia Deledda,1871,1936,2,,,
Literature,1909,Selma Ottilia Lovisa Lagerlöf,1858,1940,0,,,
Peace,2021,Maria Ressa,1963,,0,,,
Peace,2018,Nadia Murad,1993,,0,,,
Peace,2014,Malala Yousafzai,1997,,0,,,
Peace,2011,Ellen Johnson Sirleaf,1938,,4,,,
Peace,2011,Leymah Gbowee,1972,,6,,,
Peace,2011,Tawakkol Karman,1979,,3,,,
Peace,2004,Wangari Muta Maathai,1940,2011,1,,,
Peace,2003,Shirin Ebadi,1947,,2,,,
Peace,1997,Jody Williams,1950,,0,,,
Peace,1992,Rigoberta Menchú Tum,1959,,2,,,
Peace,1991,Aung San Suu Kyi,1945,,2,,,
Peace,1982,Alva Myrdal,1902,1986,3,,,
Peace,1979,Mother Teresa,1910,1997,0,,,
Peace,1976,Betty Williams,1943,2020,2,,,
Peace,1976,Mairead Corrigan,1944,,2,,,
Peace,1946,Emily Greene Balch,1867,1961,0,,,
Peace,1931,Jane Addams,1860,1935,0,,,
Peace,1905,Bertha von Suttner,1843,1914,0,,,
Economics,2019,Esther Duflo,1972,,2,,,
Economics,2009,Elinor Ostrom,1933,2012,0,,,
