MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,Type,Model
56,97,133,173,,,,,,D,AUS-ACCESS
-3,20,49,75,87,89,87,89,90,D,CMC CANSIP
14,29,46,67,84,91,95,99,107,D,COLA CCSM4
0,33,63,91,108,125,,,,D,CS-IRI-MM
26,52,79,99,111,,,,,D,ECMWF
21,51,85,111,121,121,127,140,155,D,GFDL SPEAR
-8,0,15,29,41,49,50,49,46,D,IOCAS ICM
13,37,58,81,106,,,,,D,JMA
-16,1,23,45,57,64,72,77,60,D,LDEO
1,29,61,90,108,,,,,D,MetFRANCE
27,47,72,93,112,127,141,,,D,NASA GMAO
9,25,45,67,85,99,108,,,D,NCEP CFSv2
21,52,85,109,122,124,124,126,126,D,SINTEX-F
8,36,64,90,,,,,,D,UKMO
9,43,63,75,74,78,86,92,94,S,CPC CA
-30,-18,-7,0,10,22,35,49,64,S,CPC MRKOV
-26,-2,23,47,54,61,68,72,75,S,CSU CLIPR
-26,-9,5,15,22,29,35,35,27,S,IAP-NN
-30,-37,-32,-17,-18,-22,-32,-39,-45,S,NTU CODA
27,53,70,81,85,86,85,81,76,S,UCLA-TCD
3,21,34,36,33,26,33,9,11,C,CPC CONSOL
